id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO596559215,MCO,Correa De Mascota Para Auto,9700,,COP,1,50,buy_it_now,gold_special,2040-11-25T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-596559215-correa-de-mascota-para-auto-_JM,http://http2.mlstatic.com/D_750574-MCO46984103767_082021-O.jpg,750574-MCO46984103767_082021,True,10000,MCO370459,,MCO-DOG_LEASHES,,50,False,,,,,,498209073,,,False,False,,MCO596559215,"[{'id': '1', 'type': 'standard', 'amount': 10000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-02-02T16:27:32Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '9', 'type': 'promotion', 'amount': 9500, 'regular_amount': 10000, 'currency_id': 'COP', 'last_updated': '2022-02-07T15:29:03Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T15:28:03Z', 'end_time': '2022-03-01T03:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4284002', 'promotion_id': 'MCO596559215-8bc7c36e-f6e0-462a-a255-5b2ecd5b20d7', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 200, 'campaign_discount_percentage': 5, 'campaign_end_date': '2022-03-01T03:00:00Z', 'order_item_price': 9700}}]",{'display_currency': 'COP'},[],[],[],36,269.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ0NJVTQ0NjQx,Ciudad Bolivar,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Ciudad Bolivar,,,4,Puppys_y_Shop,Nuevo,,6,0,1,1
MCO556579181,MCO,Paquete Por 60 Pañales Para Mascotas Grandes (60 Cm X 60 Cm),80655,,COP,1,100,buy_it_now,gold_special,2040-03-11T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-556579181-paquete-por-60-panales-para-mascotas-grandes-60-cm-x-60-cm-_JM,http://http2.mlstatic.com/D_831583-MCO43419774797_092020-O.jpg,831583-MCO43419774797_092020,True,84900,MCO429134,,MCO-PET_DIAPERS,,49,False,,,,,,536500818,,,False,False,,MCO556579181,"[{'id': '9', 'type': 'standard', 'amount': 84900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-13T14:47:27Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '11', 'type': 'promotion', 'amount': 80655, 'regular_amount': 84900, 'currency_id': 'COP', 'last_updated': '2022-01-29T19:39:07Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,2240.42,0,COP,CO-DC,Bogotá D.C.,TUNPQ0NIQTk2OTI1,Chapinero,True,me2,"['fulfillment', 'self_service_in', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Chapinero,,,6,,Nuevo,Grande,8,1,1,1
MCO551111282,MCO,Clicker Adiestramiento Canino Positivo Perros Cachorros ,12340,,COP,1,150,buy_it_now,gold_pro,2041-02-13T04:22:40.000Z,new,https://articulo.mercadolibre.com.co/MCO-551111282-clicker-adiestramiento-canino-positivo-perros-cachorros-_JM,http://http2.mlstatic.com/D_831329-MCO45097023362_032021-O.jpg,831329-MCO45097023362_032021,True,12990,MCO429102,,MCO-PET_TRAINING_CLICKERS,,48,False,,,,,,22720371,,,False,False,,MCO551111282,"[{'id': '13', 'type': 'standard', 'amount': 12990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-07-23T14:09:48Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '42', 'type': 'promotion', 'amount': 11042, 'regular_amount': 12990, 'currency_id': 'COP', 'last_updated': '2022-01-28T13:12:49Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-29T13:00:00Z', 'end_time': '2022-02-08T13:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO3492001', 'promotion_id': 'MCO551111282-f6029d81-5d73-4589-9f8d-b1a849a8e2a6', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 693, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-02-08T13:00:00Z', 'order_item_price': 11735}}, {'id': '43', 'type': 'promotion', 'amount': 12340, 'regular_amount': 12990, 'currency_id': 'COP', 'last_updated': '2022-01-28T13:12:49Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1028.33,0,COP,CO-LAG,Guajira,TUNPQ1JJTzIzOThh,Riohacha,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Guajira,Riohacha,,,3,,Nuevo,CP71109,8,1,1,1
MCO564756895,MCO,Pañal Perro Pet Diaper Talla M X 10 Und,24480,,COP,1,150,buy_it_now,gold_special,2041-02-14T15:12:07.000Z,new,https://articulo.mercadolibre.com.co/MCO-564756895-panal-perro-pet-diaper-talla-m-x-10-und-_JM,http://http2.mlstatic.com/D_817482-MCO42090772635_062020-O.jpg,817482-MCO42090772635_062020,True,27200,MCO429134,,MCO-PET_DIAPERS,,47,False,,,,,,164468098,,,False,False,,MCO564756895,"[{'id': '10', 'type': 'standard', 'amount': 27200, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-23T21:31:06Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '12', 'type': 'promotion', 'amount': 24480, 'regular_amount': 27200, 'currency_id': 'COP', 'last_updated': '2022-02-16T15:36:05Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,680.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JBUjEyNTcx,Barrios Unidos,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Barrios Unidos,,,6,PET SPA,Nuevo,DIAPER,6,0,0,1
MCO564741686,MCO,Salsa Perro Natural Select Sabor A Pollo 375 Ml,8038,,COP,1,25,buy_it_now,gold_special,2041-02-04T16:19:30.000Z,new,https://articulo.mercadolibre.com.co/MCO-564741686-salsa-perro-natural-select-sabor-a-pollo-375-ml-_JM,http://http2.mlstatic.com/D_751664-MCO48688631274_122021-I.jpg,751664-MCO48688631274_122021,True,9240,MCO377243,,MCO-CATS_AND_DOGS_TREATS,,46,True,,,,,,164468098,,,False,False,,MCO564741686,"[{'id': '11', 'type': 'standard', 'amount': 9240, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-11T14:42:51Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '12', 'type': 'promotion', 'amount': 8038, 'regular_amount': 9240, 'currency_id': 'COP', 'last_updated': '2022-01-26T14:23:52Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,223.28,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JBUjEyNTcx,Barrios Unidos,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Barrios Unidos,,,4,NATURAL SELECT,Nuevo,,6,0,0,1
MCO608399010,MCO,Correa De Cuerda Retráctil Perro Zootopia 8 Metros Max.45 Kg,62475,,COP,1,150,buy_it_now,gold_special,2041-02-15T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-608399010-correa-de-cuerda-retractil-perro-zootopia-8-metros-max45-kg-_JM,http://http2.mlstatic.com/D_908318-MCO44946399003_022021-I.jpg,908318-MCO44946399003_022021,True,69417,MCO370459,,MCO-DOG_LEASHES,,45,True,,,,,,164468098,,,False,False,,MCO608399010,"[{'id': '15', 'type': 'standard', 'amount': 69417, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-11T14:42:48Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '16', 'type': 'promotion', 'amount': 62475, 'regular_amount': 69417, 'currency_id': 'COP', 'last_updated': '2022-02-16T13:45:12Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-16T05:00:00Z', 'end_time': '2022-02-23T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1628693-MCO608399010', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,1735.42,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JBUjEyNTcx,Barrios Unidos,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Barrios Unidos,,,6,Hagen,Nuevo,ZOOTOPIA,5,0,0,1
MCO565209303,MCO,Cama Mediana Doble Faz Para Mascota,34317,,COP,1,500,buy_it_now,gold_special,2040-05-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-565209303-cama-mediana-doble-faz-para-mascota-_JM,http://http2.mlstatic.com/D_798049-MCO46336976468_062021-O.jpg,798049-MCO46336976468_062021,True,36900,MCO155512,,MCO-DOG_BEDS,,44,False,,,,,,364199796,,,False,False,,MCO565209303,"[{'id': '2', 'type': 'standard', 'amount': 36900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-04T02:02:33Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '51', 'type': 'promotion', 'amount': 34317, 'regular_amount': 36900, 'currency_id': 'COP', 'last_updated': '2022-01-27T20:55:48Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '52', 'type': 'promotion', 'amount': 32472, 'regular_amount': 36900, 'currency_id': 'COP', 'last_updated': '2022-01-27T20:55:48Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-31T17:00:00Z', 'end_time': '2022-01-31T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1527913-MCO565209303', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,953.25,0,COP,CO-DC,Bogotá D.C.,TUNPQ0NIQTk2OTI1,Chapinero,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Chapinero,,,3,Hally Pets,Nuevo,Doble Faz,7,1,1,1
MCO631316122,MCO,Guacal Para Perro #200 Talla M Nacional 71 Cms De Largo,203215,,COP,1,25,buy_it_now,gold_special,2041-05-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-631316122-guacal-para-perro-200-talla-m-nacional-71-cms-de-largo-_JM,http://http2.mlstatic.com/D_685357-MCO46274561780_062021-I.jpg,685357-MCO46274561780_062021,True,209500,MCO155514,,MCO-DOG_CARRIERS_AND_CARRYING_BAGS,,43,True,,,,,,152155585,,,False,False,,MCO631316122,"[{'id': '3', 'type': 'standard', 'amount': 209500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-08T13:49:30Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '4', 'type': 'promotion', 'amount': 199025, 'regular_amount': 209500, 'currency_id': 'COP', 'last_updated': '2022-02-11T18:45:42Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-11T18:44:42Z', 'end_time': '2022-03-01T03:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4284002', 'promotion_id': 'MCO631316122-7cc21806-9cc6-4ed5-8dc1-70645cd0f054', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 4190, 'campaign_discount_percentage': 5, 'campaign_end_date': '2022-03-01T03:00:00Z', 'order_item_price': 203215}}]",{'display_currency': 'COP'},[],[],[],36,5644.86,0,COP,CO-CUN,Cundinamarca,TUNPQ0NPVGFiYzZm,Cota,True,me2,['mandatory_free_shipping'],cross_docking,False,,,,,Colombia,Cundinamarca,Cota,,,1,,Nuevo,,5,0,1,1
MCO543348649,MCO,Collares Mascotas Alumbran Sin Pilas 100% Personalizados. ,23280,,COP,50,250,buy_it_now,gold_pro,2039-11-21T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-543348649-collares-mascotas-alumbran-sin-pilas-100-personalizados-_JM,http://http2.mlstatic.com/D_684751-MCO47606356580_092021-O.jpg,684751-MCO47606356580_092021,True,24000,MCO155544,,MCO-PET_TAGS,,42,False,,,,,,286012089,,,False,False,,MCO543348649,"[{'id': '70', 'type': 'standard', 'amount': 24000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-16T16:56:08Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '85', 'type': 'promotion', 'amount': 22800, 'regular_amount': 24000, 'currency_id': 'COP', 'last_updated': '2022-02-07T18:29:35Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T18:07:59Z', 'end_time': '2022-03-01T03:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4284002', 'promotion_id': 'MCO543348649-12962ffc-ecc4-4425-9879-078566ab0459', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 480, 'campaign_discount_percentage': 5, 'campaign_end_date': '2022-03-01T03:00:00Z', 'order_item_price': 23280}}, {'id': '86', 'type': 'promotion', 'amount': 22800, 'regular_amount': 24000, 'currency_id': 'COP', 'last_updated': '2022-02-07T18:29:35Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '87', 'type': 'promotion', 'amount': 21600, 'regular_amount': 24000, 'currency_id': 'COP', 'last_updated': '2022-02-07T18:29:35Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '88', 'type': 'promotion', 'amount': 21600, 'regular_amount': 24000, 'currency_id': 'COP', 'last_updated': '2022-02-07T18:29:35Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '89', 'type': 'promotion', 'amount': 21600, 'regular_amount': 24000, 'currency_id': 'COP', 'last_updated': '2022-02-07T18:29:35Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '90', 'type': 'promotion', 'amount': 21600, 'regular_amount': 24000, 'currency_id': 'COP', 'last_updated': '2022-02-07T18:29:35Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1940.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,3,,Nuevo,,5,0,1,1
MCO458116011,MCO,Guante Cepillo Perros Y Gatos 5 Dedos True Touch,6555,,COP,1,500,buy_it_now,gold_special,2041-01-07T13:10:40.000Z,new,https://articulo.mercadolibre.com.co/MCO-458116011-guante-cepillo-perros-y-gatos-5-dedos-true-touch-_JM,http://http2.mlstatic.com/D_984733-MCO31097329029_062019-O.jpg,984733-MCO31097329029_062019,True,6900,MCO155535,,MCO-PET_BRUSHES,MCO14962309,41,False,,,,,,86800592,,,False,False,,MCO458116011,"[{'id': '9', 'type': 'standard', 'amount': 6900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-03T17:17:45Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '13', 'type': 'promotion', 'amount': 6555, 'regular_amount': 6900, 'currency_id': 'COP', 'last_updated': '2022-01-29T11:00:00Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,182.08,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,"['self_service_in', 'fbm_in_process']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,4,True Touch,Nuevo,Guante,6,1,1,1
MCO562380721,MCO,Tapete Entrenador Grande Con Grama 76 Cm X 51 + Repuesto,91083,,COP,50,100,buy_it_now,gold_pro,2040-05-07T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-562380721-tapete-entrenador-grande-con-grama-76-cm-x-51-repuesto-_JM,http://http2.mlstatic.com/D_611257-MCO46106383131_052021-I.jpg,611257-MCO46106383131_052021,True,93900,MCO155541,,MCO-DOG_POTTY_PADS,,40,True,,,,,,464571116,,,False,False,,MCO562380721,"[{'id': 'b305638b-5e82-43cd-a55d-a349a95f285b', 'type': 'standard', 'amount': 93900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-06T03:24:28Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '9', 'type': 'promotion', 'amount': 89205, 'regular_amount': 93900, 'currency_id': 'COP', 'last_updated': '2022-02-14T02:32:52Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-14T02:31:52Z', 'end_time': '2022-03-01T03:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4284002', 'promotion_id': 'MCO562380721-2b60fd77-be37-468e-afd8-87b19cd2d73c', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 1878, 'campaign_discount_percentage': 5, 'campaign_end_date': '2022-03-01T03:00:00Z', 'order_item_price': 91083}}]",{'display_currency': 'COP'},[],[],[],12,7590.25,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Engativá,,,5,Importado,Nuevo,Grande,6,1,1,1
MCO511226189,MCO,Arnés K9/soporte Emocional Perro (raza Mediana)(sin Parche),53350,,COP,1,150,buy_it_now,gold_pro,2039-04-24T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-511226189-arnes-k9soporte-emocional-perro-raza-medianasin-parche-_JM,http://http2.mlstatic.com/D_782269-MCO47589755248_092021-O.jpg,782269-MCO47589755248_092021,True,55000,MCO370607,,MCO-DOG_HARNESSES,,39,False,,,,,,65523226,,,False,False,,MCO511226189,"[{'id': '5', 'type': 'standard', 'amount': 55000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-28T17:14:48Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '6', 'type': 'promotion', 'amount': 52250, 'regular_amount': 55000, 'currency_id': 'COP', 'last_updated': '2022-02-16T15:46:31Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-16T15:45:31Z', 'end_time': '2022-03-01T03:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4284002', 'promotion_id': 'MCO511226189-0847be0a-997e-4105-a2be-31651e52ac10', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 1100, 'campaign_discount_percentage': 5, 'campaign_end_date': '2022-03-01T03:00:00Z', 'order_item_price': 53350}}]",{'display_currency': 'COP'},[],[],[],12,4445.83,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjg4OTk3,San Cristobal Sur,False,me2,['self_service_out'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,San Cristobal Sur,,,3,Playful Dog,Nuevo,Arnés k9,7,1,1,1
MCO593600668,MCO,Tapete Fresco Para Perro 30x40cm Gel Fresco Disipador Calor ,23740,,COP,1,50,buy_it_now,gold_pro,2040-11-03T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-593600668-tapete-fresco-para-perro-30x40cm-gel-fresco-disipador-calor-_JM,http://http2.mlstatic.com/D_910504-MCO44022780527_112020-I.jpg,910504-MCO44022780527_112020,True,24990,MCO155512,,MCO-DOG_BEDS,,38,True,,,,,,88365754,,,False,False,,MCO593600668,"[{'id': '984d6e65-f99b-455f-8bb3-de3aa3455f83', 'type': 'standard', 'amount': 24990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-11-08T18:11:44Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '6', 'type': 'promotion', 'amount': 23740, 'regular_amount': 24990, 'currency_id': 'COP', 'last_updated': '2022-02-13T22:48:16Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-13T05:00:00Z', 'end_time': '2022-02-19T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1611865-MCO593600668', 'promotion_type': 'custom'}}, {'id': '7', 'type': 'promotion', 'amount': 19992, 'regular_amount': 24990, 'currency_id': 'COP', 'last_updated': '2022-02-13T22:48:16Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2022-02-13T05:00:00Z', 'end_time': '2022-02-19T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1611865-MCO593600668', 'promotion_type': 'custom'}}, {'id': '8', 'type': 'promotion', 'amount': 19992, 'regular_amount': 24990, 'currency_id': 'COP', 'last_updated': '2022-02-13T22:48:16Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2022-02-13T05:00:00Z', 'end_time': '2022-02-19T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1611865-MCO593600668', 'promotion_type': 'custom'}}, {'id': '9', 'type': 'promotion', 'amount': 19992, 'regular_amount': 24990, 'currency_id': 'COP', 'last_updated': '2022-02-13T22:48:16Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2022-02-13T05:00:00Z', 'end_time': '2022-02-19T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1611865-MCO593600668', 'promotion_type': 'custom'}}, {'id': '10', 'type': 'promotion', 'amount': 19992, 'regular_amount': 24990, 'currency_id': 'COP', 'last_updated': '2022-02-13T22:48:16Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2022-02-13T05:00:00Z', 'end_time': '2022-02-19T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1611865-MCO593600668', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,1978.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Suba,,,6,PETSORE,Nuevo,,7,1,1,1
