id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO509761199,MCO,Never Old Shampoo + Tonico Cubre Canas 230ml,21000,,COP,1,500,buy_it_now,gold_special,2039-04-09T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-509761199-never-old-shampoo-tonico-cubre-canas-230ml-_JM,http://http2.mlstatic.com/D_867992-MCO41475971500_042020-I.jpg,867992-MCO41475971500_042020,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,50,True,,,,,,416080506,,,False,False,,MCO509761199,"[{'id': '1', 'type': 'standard', 'amount': 21000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-22T01:51:26Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,583.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,"['self_service_in', 'fbm_in_process']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,5,Never Old,Nuevo,4,0,0,1
MCO597847019,MCO,Shampoo Capilar Tío Nacho Engrosador 1 Lt,33550,,COP,500,150,buy_it_now,gold_special,2040-12-04T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-597847019-shampoo-capilar-tio-nacho-engrosador-1-lt-_JM,http://http2.mlstatic.com/D_775654-MCO45571945359_042021-O.jpg,775654-MCO45571945359_042021,True,,MCO180951,1083,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,49,False,,,,,,467743684,,,False,False,,MCO597847019,"[{'id': '9', 'type': 'standard', 'amount': 33550, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-06T21:15:14Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,931.94,0,COP,CO-CUN,Cundinamarca,TUNPQ0ZVTjMxMDQy,Funza,False,me2,[],cross_docking,False,,,,,Colombia,Cundinamarca,Funza,,,2,Tío Nacho,Nuevo,5,1,0,1
MCO576391927,MCO,Magic Hair Shampoo Y Acondicionador C - Kg A $64000,64000,,COP,500,500,buy_it_now,gold_pro,2041-05-26T22:47:39.000Z,new,https://articulo.mercadolibre.com.co/MCO-576391927-magic-hair-shampoo-y-acondicionador-c-kg-a-64000-_JM,http://http2.mlstatic.com/D_782604-MCO43128215824_082020-I.jpg,782604-MCO43128215824_082020,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,48,True,,,,,,239689328,,,False,False,,MCO576391927,"[{'id': '4', 'type': 'standard', 'amount': 64000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-01T23:23:00Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '8', 'type': 'promotion', 'amount': 58880, 'regular_amount': 64000, 'currency_id': 'COP', 'last_updated': '2021-11-26T17:38:27Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-11-30T23:00:00Z', 'end_time': '2021-12-01T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1177833-MCO576391927', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],12,5333.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Suba,,,5,Magic Hair,Nuevo,6,1,1,1
MCO577373401,MCO,Shampoo Rocio De Oro X 500ml,18500,,COP,500,100,buy_it_now,gold_pro,2040-08-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-577373401-shampoo-rocio-de-oro-x-500ml-_JM,http://http2.mlstatic.com/D_936489-MCO43178785411_082020-I.jpg,936489-MCO43178785411_082020,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,47,True,,,,,,574489358,,,False,False,,MCO577373401,"[{'id': '1', 'type': 'standard', 'amount': 18500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-26T15:15:06Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,1541.67,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,me2,[],xd_drop_off,False,,,,,Colombia,Antioquia,Medellín,,,4,Rene Chardon,Nuevo,5,0,1,1
MCO548225754,MCO,Olaplex 3-4-5 *50ml  Porcionado,119900,,COP,1,100,buy_it_now,gold_special,2040-01-04T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-548225754-olaplex-3-4-5-50ml-porcionado-_JM,http://http2.mlstatic.com/D_683360-MCO43881243395_102020-I.jpg,683360-MCO43881243395_102020,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,46,True,,,,,,149996738,,,False,False,,MCO548225754,"[{'id': 'cf75393d-110e-409a-a68a-fa5079929f21', 'type': 'standard', 'amount': 119900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-09-06T20:44:47Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,3330.56,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,4,Olaplex,Nuevo,5,0,1,1
MCO568329441,MCO,Gotas Mágicas Milagros ,24000,,COP,1,250,buy_it_now,gold_special,2040-06-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-568329441-gotas-magicas-milagros-_JM,http://http2.mlstatic.com/D_985051-MLA47170891029_082021-I.jpg,985051-MLA47170891029_082021,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,45,True,,,,,,232567954,,,False,False,,MCO568329441,"[{'id': '20', 'type': 'standard', 'amount': 24000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-03T19:05:12Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '21', 'type': 'standard', 'amount': 24000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-03T19:05:12Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,666.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,3,milagros,Nuevo,5,0,0,1
MCO621404582,MCO,Shampoo Epa Colombia  500 Ml,29990,,COP,500,50,buy_it_now,gold_special,2041-05-01T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-621404582-shampoo-epa-colombia-500-ml-_JM,http://http2.mlstatic.com/D_636077-MCO45844540364_052021-I.jpg,636077-MCO45844540364_052021,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,44,True,,,,,,599654227,,,False,False,,MCO621404582,"[{'id': '4', 'type': 'standard', 'amount': 29990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-15T13:36:16Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,833.06,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,2,Epa Colombia,Nuevo,6,0,1,1
MCO813438618,MCO,Control Gx Shampoo  Justfor Men - mL a $347,40900,,COP,1,50,buy_it_now,gold_special,2041-10-15T01:55:16.000Z,new,https://articulo.mercadolibre.com.co/MCO-813438618-control-gx-shampoo-justfor-men-_JM,http://http2.mlstatic.com/D_714681-MCO48029212627_102021-I.jpg,714681-MCO48029212627_102021,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,43,True,,,,,,149996738,,,False,False,,MCO813438618,"[{'id': '10', 'type': 'standard', 'amount': 40900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-03T23:50:26Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1136.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,4,Just For Men,Nuevo,5,0,1,1
MCO562626262,MCO,Champoo Niños Manzanilla Babaria 600ml,9900,,COP,1,100,buy_it_now,gold_special,2040-05-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-562626262-champoo-ninos-manzanilla-babaria-600ml-_JM,http://http2.mlstatic.com/D_927430-MCO41833614113_052020-I.jpg,927430-MCO41833614113_052020,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,42,True,,,,,,388680094,,,False,False,,MCO562626262,"[{'id': '1', 'type': 'standard', 'amount': 9900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-31T19:42:20Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,275.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,2,,Nuevo,6,0,1,1
MCO557970839,MCO,"Dúo Shampo Milagros, Emergencia,tratamiento,c - G A $79",70000,,COP,50,250,buy_it_now,gold_special,2040-03-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-557970839-duo-shampo-milagros-emergenciatratamientoc-g-a-79-_JM,http://http2.mlstatic.com/D_981120-MCO43382363222_092020-I.jpg,981120-MCO43382363222_092020,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,41,True,,,,,,232567954,,,False,False,,MCO557970839,"[{'id': '5', 'type': 'standard', 'amount': 70000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-22T00:03:44Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1944.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,"['fs_threshold_mco_change_apr2021', 'self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,3,milagros,Nuevo,5,0,1,1
MCO557429465,MCO,Kit Hombres Prevención Caída ,37520,,COP,1,500,buy_it_now,gold_special,2040-03-21T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-557429465-kit-hombres-prevencion-caida-_JM,http://http2.mlstatic.com/D_825425-MCO41243601542_032020-I.jpg,825425-MCO41243601542_032020,True,,MCO180951,1025,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,40,True,,,,,,526186432,,,False,False,,MCO557429465,"[{'id': '10', 'type': 'standard', 'amount': 37520, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-21T19:15:46Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1042.22,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Antioquia,Medellín,,,6,María Sañlomé,Nuevo,7,0,1,1
MCO654524685,MCO,Shampoo Control Caida Satinique,20000,,COP,1,100,buy_it_now,gold_special,2041-08-04T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-654524685-shampoo-control-caida-satinique-_JM,http://http2.mlstatic.com/D_956322-MCO47036978028_082021-I.jpg,956322-MCO47036978028_082021,True,,MCO180951,,MCO-HAIR_SHAMPOOS_AND_CONDITIONERS,,39,True,,,,,,710229067,,,False,False,,MCO654524685,"[{'id': '1', 'type': 'standard', 'amount': 20000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-09T23:49:12Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,555.56,0,COP,CO-CUN,Cundinamarca,TUNPQ01PUzRiMGY3,Mosquera,False,me2,[],xd_drop_off,False,,,,,Colombia,Cundinamarca,Mosquera,,,3,Amway,Nuevo,5,0,1,1
