id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO597231799,MCO,Protocolo Clínico,149000,,COP,1,250,buy_it_now,gold_special,2041-09-14T10:50:01.000Z,new,https://articulo.mercadolibre.com.co/MCO-597231799-protocolo-clinico-_JM,http://http2.mlstatic.com/D_954880-MCO44250140459_122020-I.jpg,954880-MCO44250140459_122020,True,,MCO1196,,MCO-BOOKS,,50,True,,,,,,682256598,,,False,False,,MCO597231799,"[{'id': '2d14a369-e1e9-4de9-84fe-a190c79f5acf', 'type': 'standard', 'amount': 149000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-12-04T18:00:08Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,4138.89,0,COP,CO-VAC,Valle Del Cauca,TUNPQ0NBTDYyZDA0,Cali,True,me2,"['fulfillment', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Valle Del Cauca,Cali,,,3,Nuevo,5,0,1,1
MCO571560098,MCO,Piense Y Hágase Rico ( Nuevo Y Original ),20000,,COP,1,250,buy_it_now,gold_special,2041-05-02T15:15:47.000Z,new,https://articulo.mercadolibre.com.co/MCO-571560098-piense-y-hagase-rico-nuevo-y-original--_JM,http://http2.mlstatic.com/D_686394-MCO45336417757_032021-I.jpg,686394-MCO45336417757_032021,True,,MCO1196,,MCO-BOOKS,,49,True,,,,,,394380898,,,False,False,,MCO571560098,"[{'id': '2', 'type': 'standard', 'amount': 20000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-03-25T23:54:54Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '3', 'type': 'promotion', 'amount': 18000, 'regular_amount': 20000, 'currency_id': 'COP', 'last_updated': '2021-09-03T00:41:48Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-09-04T11:00:00Z', 'end_time': '2021-09-04T17:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '550128-MCO571560098', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,555.56,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,5,0,1,1
MCO841961743,MCO,Un Inmueble Al Año No Hace Daño ,17400,,COP,50,50,buy_it_now,gold_special,2042-01-24T20:09:58.000Z,new,https://articulo.mercadolibre.com.co/MCO-841961743-un-inmueble-al-ano-no-hace-dano-_JM,http://http2.mlstatic.com/D_968236-MCO48555502753_122021-I.jpg,968236-MCO48555502753_122021,True,,MCO1196,,MCO-BOOKS,,48,True,,,,,,824555585,,,False,False,,MCO841961743,"[{'id': '3', 'type': 'standard', 'amount': 17400, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-11T16:42:21Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,483.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_out'],drop_off,False,,,,,Colombia,Bogotá D.C.,Martires,,,1,Nuevo,4,1,1,0
MCO548892165,MCO,El Arte De La Guerra - Sun Tzu - Libro Nuevo - Original,19900,,COP,1,250,buy_it_now,gold_pro,2040-07-17T01:00:56.000Z,new,https://articulo.mercadolibre.com.co/MCO-548892165-el-arte-de-la-guerra-sun-tzu-libro-nuevo-original-_JM,http://http2.mlstatic.com/D_868602-MCO44584782543_012021-I.jpg,868602-MCO44584782543_012021,True,,MCO1196,,MCO-BOOKS,,47,True,,,,,,241579736,,,False,False,,MCO548892165,"[{'id': '21', 'type': 'standard', 'amount': 19900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-19T17:29:46Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '27', 'type': 'promotion', 'amount': 18905, 'regular_amount': 19900, 'currency_id': 'COP', 'last_updated': '2021-12-25T20:31:21Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-12-29T17:00:00Z', 'end_time': '2021-12-29T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1372719-MCO548892165', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],12,1658.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,4,Nuevo,4,0,1,1
MCO803379684,MCO,"Panita Este Es Mi Libro, Cuadrado, Autobiografía",14900,,COP,500,150,buy_it_now,gold_special,2041-08-29T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-803379684-panita-este-es-mi-libro-cuadrado-autobiografia-_JM,http://http2.mlstatic.com/D_794916-MCO47354363627_092021-I.jpg,794916-MCO47354363627_092021,True,,MCO1196,,MCO-BOOKS,,46,True,,,,,,794754488,,,False,False,,MCO803379684,"[{'id': '5', 'type': 'standard', 'amount': 14900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-02T18:11:49Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,413.89,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,5,0,1,1
MCO589508952,MCO,Mi Madrasta Cómic ,7000,,COP,50,5,buy_it_now,gold_pro,2040-10-11T04:08:53.000Z,new,https://articulo.mercadolibre.com.co/MCO-589508952-mi-madrasta-comic-_JM,http://http2.mlstatic.com/D_777882-MCO43779390430_102020-I.jpg,777882-MCO43779390430_102020,True,,MCO3043,,MCO-COMICS,,45,True,,,,,,455432513,,,False,False,,MCO589508952,"[{'id': '35c9921e-06a3-4dc9-9929-28c9888d24dd', 'type': 'standard', 'amount': 7000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-16T04:08:44Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,583.33,0,COP,CO-BOL,Bolivar,TUNPQ0NBUjcwNTYz,Cartagena De Indias,False,me2,[],drop_off,False,,,,,Colombia,Bolivar,Cartagena De Indias,,,1,Nuevo,4,0,1,1
MCO659268403,MCO,Antes De Diciembre Libro Joana Mercus,22000,,COP,1,50,buy_it_now,gold_special,2041-08-21T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-659268403-antes-de-diciembre-libro-joana-mercus-_JM,http://http2.mlstatic.com/D_905957-MCO48446794585_122021-I.jpg,905957-MCO48446794585_122021,True,,MCO1196,,MCO-BOOKS,,44,True,,,,,,245782494,,,False,False,,MCO659268403,"[{'id': '19', 'type': 'standard', 'amount': 22000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-16T02:18:37Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,611.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ0ZPTjcyNzAz,Fontibón,False,me2,['self_service_out'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Fontibón,,,2,Nuevo,4,0,1,1
MCO578361507,MCO,Cómo Hacer Que Te Pasen Cosas Buenas( Nuevo Y Original ),45000,,COP,1,100,buy_it_now,gold_special,2041-05-02T15:15:46.000Z,new,https://articulo.mercadolibre.com.co/MCO-578361507-como-hacer-que-te-pasen-cosas-buenas-nuevo-y-original--_JM,http://http2.mlstatic.com/D_794257-MCO44670595885_012021-I.jpg,794257-MCO44670595885_012021,True,,MCO1196,,MCO-BOOKS,,43,True,,,,,,394380898,,,False,False,,MCO578361507,"[{'id': '5', 'type': 'standard', 'amount': 45000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-18T14:11:38Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1250.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,4,0,0,1
MCO571615763,MCO,"Disciplina Sin Lagrimas, La Nuevo Y Original)",41000,,COP,1,150,buy_it_now,gold_pro,2040-07-13T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-571615763-disciplina-sin-lagrimas-la-nuevo-y-original-_JM,http://http2.mlstatic.com/D_896281-MCO44767942658_012021-I.jpg,896281-MCO44767942658_012021,True,,MCO1196,,MCO-BOOKS,,42,True,,,,,,394380898,,,False,False,,MCO571615763,"[{'id': '2', 'type': 'standard', 'amount': 41000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-03T14:26:24Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,3416.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,4,1,0,1
MCO651883691,MCO,Las Cinco Heridas Que Impiden Ser Uno Mismo - Lise Bourbeau,23750,,COP,1,100,buy_it_now,gold_pro,2041-07-26T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-651883691-las-cinco-heridas-que-impiden-ser-uno-mismo-lise-bourbeau-_JM,http://http2.mlstatic.com/D_878965-MCO46934501586_072021-I.jpg,878965-MCO46934501586_072021,True,25000,MCO1196,,MCO-BOOKS,,41,True,,,,,,760365903,,,False,False,,MCO651883691,"[{'id': '1', 'type': 'standard', 'amount': 25000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-07-31T16:00:37Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '29', 'type': 'promotion', 'amount': 23750, 'regular_amount': 25000, 'currency_id': 'COP', 'last_updated': '2022-02-07T16:48:22Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '30', 'type': 'promotion', 'amount': 23000, 'regular_amount': 25000, 'currency_id': 'COP', 'last_updated': '2022-02-07T16:48:22Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-11T17:00:00Z', 'end_time': '2022-02-11T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1578901-MCO651883691', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],12,1979.17,0,COP,CO-VAC,Valle Del Cauca,TUNPQ0NBTDYyZDA0,Cali,False,me2,[],cross_docking,False,,,,,Colombia,Valle Del Cauca,Cali,,,1,Nuevo,4,0,1,1
MCO831113092,MCO,Los Compas Y La Entidad. Exe ( Libro Nuevo Y Original ),62000,,COP,1,50,buy_it_now,gold_special,2041-11-06T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-831113092-los-compas-y-la-entidad-exe-libro-nuevo-y-original--_JM,http://http2.mlstatic.com/D_644977-MCO48199493821_112021-I.jpg,644977-MCO48199493821_112021,True,,MCO1196,,MCO-BOOKS,,40,True,,,,,,394380898,,,False,False,,MCO831113092,"[{'id': '4', 'type': 'standard', 'amount': 62000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-28T15:36:17Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1722.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,2,Nuevo,4,0,1,1
