id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO860089865,MCO,"Apartamento En Villemar. 3 Habitaciones, 59 M²",275000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,used,https://apartamento.mercadolibre.com.co/MCO-860089865-apartamento-en-villemar-3-habitaciones-59-m-_JM,http://http2.mlstatic.com/D_808107-MCO49108921008_022022-I.jpg,808107-MCO49108921008_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,40,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860089865,"[{'id': '1', 'type': 'standard', 'amount': 275000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:47:15Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEJPR1gxMDljZA,Bogotá D.C.,TUNPQ0ZPTjcyNzAz,Fontibón,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,8,Usado,0,0,0,0
MCO860026494,MCO,"Apartamento En Boyaca Real. 3 Habitaciones, 87 M²",460000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,used,https://apartamento.mercadolibre.com.co/MCO-860026494-apartamento-en-boyaca-real-3-habitaciones-87-m-_JM,http://http2.mlstatic.com/D_769561-MCO49108923704_022022-I.jpg,769561-MCO49108923704_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,39,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860026494,"[{'id': '1', 'type': 'standard', 'amount': 460000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:47:49Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEJPR1gxMDljZA,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativa,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,8,Usado,0,0,0,0
MCO860064737,MCO,"Apartamento En Las Lomitas. 3 Habitaciones, 115 M²",600000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,used,https://apartamento.mercadolibre.com.co/MCO-860064737-apartamento-en-las-lomitas-3-habitaciones-115-m-_JM,http://http2.mlstatic.com/D_740749-MCO49108924376_022022-I.jpg,740749-MCO49108924376_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,38,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860064737,"[{'id': '1', 'type': 'standard', 'amount': 600000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:47:53Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEFOVGFiZWI3,Antioquia,TUNPQ1NBQjliZjBm,Sabaneta,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,8,Usado,0,0,0,0
MCO860032866,MCO,"Apartamento En Bosque Medina. 3 Habitaciones, 290 M²",1800000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,new,https://apartamento.mercadolibre.com.co/MCO-860032866-apartamento-en-bosque-medina-3-habitaciones-290-m-_JM,http://http2.mlstatic.com/D_767096-MCO49108927035_022022-I.jpg,767096-MCO49108927035_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,37,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860032866,"[{'id': '1', 'type': 'standard', 'amount': 1800000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:48:20Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEJPR1gxMDljZA,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,8,Nuevo,0,0,0,0
MCO860032891,MCO,"Apartamento En Modelia Occidental, Modelia. 5 Habitaciones, 219 M²",850000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,used,https://apartamento.mercadolibre.com.co/MCO-860032891-apartamento-en-modelia-occidental-modelia-5-habitaciones-219-m-_JM,http://http2.mlstatic.com/D_840755-MCO49108953085_022022-I.jpg,840755-MCO49108953085_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,36,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860032891,"[{'id': '1', 'type': 'standard', 'amount': 850000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:50:38Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEJPR1gxMDljZA,Bogotá D.C.,TUNPQ0ZPTjcyNzAz,Fontibón,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,8,Usado,0,0,0,0
MCO860032899,MCO,"Apartamento En Santa María N.º 3. 1 Habitación, 55 M²",255000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,new,https://apartamento.mercadolibre.com.co/MCO-860032899-apartamento-en-santa-maria-n-3-1-habitacion-55-m-_JM,http://http2.mlstatic.com/D_708499-MCO49108965600_022022-I.jpg,708499-MCO49108965600_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,35,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860032899,"[{'id': '1', 'type': 'standard', 'amount': 255000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:51:34Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEFOVGFiZWI3,Antioquia,TUNPQ0lUQThkMzc5,Itaguí,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,8,Nuevo,0,0,0,0
MCO860095874,MCO,"Apartamento En Los Cedros Oriental, Los Cedros. 3 Habitaciones, 108 M²",840000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,new,https://apartamento.mercadolibre.com.co/MCO-860095874-apartamento-en-los-cedros-oriental-los-cedros-3-habitaciones-108-m-_JM,http://http2.mlstatic.com/D_699630-MCO49108997937_022022-I.jpg,699630-MCO49108997937_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,34,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860095874,"[{'id': '1', 'type': 'standard', 'amount': 840000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:52:27Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEJPR1gxMDljZA,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,8,Nuevo,0,0,0,0
MCO860095883,MCO,"Apartamento En Puente Largo. 2 Habitaciones, 74 M²",490000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,new,https://apartamento.mercadolibre.com.co/MCO-860095883-apartamento-en-puente-largo-2-habitaciones-74-m-_JM,http://http2.mlstatic.com/D_666779-MCO49109001651_022022-I.jpg,666779-MCO49109001651_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,33,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860095883,"[{'id': '1', 'type': 'standard', 'amount': 490000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:52:49Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEJPR1gxMDljZA,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,8,Nuevo,0,0,0,0
MCO860039142,MCO,"Apartamento En Bella Suiza. 3 Habitaciones, 120 M²",550000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,used,https://apartamento.mercadolibre.com.co/MCO-860039142-apartamento-en-bella-suiza-3-habitaciones-120-m-_JM,http://http2.mlstatic.com/D_773584-MCO49109008811_022022-I.jpg,773584-MCO49109008811_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,32,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860039142,"[{'id': '1', 'type': 'standard', 'amount': 550000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:53:22Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEJPR1gxMDljZA,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,9,Usado,0,0,0,0
MCO860071087,MCO,"Apartamento En Ancon Sur. 3 Habitaciones, 75 M²",340000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,used,https://apartamento.mercadolibre.com.co/MCO-860071087-apartamento-en-ancon-sur-3-habitaciones-75-m-_JM,http://http2.mlstatic.com/D_615001-MCO49109003968_022022-I.jpg,615001-MCO49109003968_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,31,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860071087,"[{'id': '1', 'type': 'standard', 'amount': 340000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:54:11Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEFOVGFiZWI3,Antioquia,TUNPQ1NBQjliZjBm,Sabaneta,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,8,Usado,0,0,0,0
MCO860039159,MCO,"Apartamento En Cedritos. 6 Habitaciones, 189 M²",650000000,,COP,1,0,classified,gold_premium,2022-03-15T04:00:00.000Z,used,https://apartamento.mercadolibre.com.co/MCO-860039159-apartamento-en-cedritos-6-habitaciones-189-m-_JM,http://http2.mlstatic.com/D_798532-MCO49109025169_022022-I.jpg,798532-MCO49109025169_022022,False,,MCO1474,1467,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,,30,True,,,,,,651252026,http://perfil.mercadolibre.com.co/HOUMCOLOMBIASAS,2020-09-25T13:58:52.000-04:00,False,True,"['real_estate_agency', 'brand', 'messages_as_seller']",MCO860039159,"[{'id': '1', 'type': 'standard', 'amount': 650000000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T18:55:02Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],,,,,TUNPUEJPR1gxMDljZA,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,False,not_specified,[],,False,,,,,Colombia,Bogotá D.C.,Engativá,,,9,Usado,0,0,0,0
