id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,BRAND
MCO611513107,MCO,Clip Clic Pinza Molde Dual System Form Uña Acrílico Polygel ,6500,,COP,1,100,buy_it_now,gold_special,2041-04-17T19:12:56.000Z,new,https://articulo.mercadolibre.com.co/MCO-611513107-clip-clic-pinza-molde-dual-system-form-una-acrilico-polygel-_JM,http://http2.mlstatic.com/D_904675-MCO45175527144_032021-I.jpg,904675-MCO45175527144_032021,True,,MCO167683,,MCO-NAIL_STICKERS,,50,True,,,,,,19584718,,,False,False,,MCO611513107,"[{'id': '5', 'type': 'standard', 'amount': 6500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-22T19:33:20Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,180.56,0,COP,CO-SAN,Santander,TUNPQ0JBUjY3YjE4,Barrancabermeja,False,me2,[],drop_off,False,,,,,Colombia,Santander,Barrancabermeja,,,4,Nuevo,Na,5,0,1,1,
MCO836001718,MCO,Pulidor De Uñas Pedicura Manicure Profesional 18 Piezas,24000,,COP,1,25,buy_it_now,gold_special,2041-11-20T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-836001718-pulidor-de-unas-pedicura-manicure-profesional-18-piezas-_JM,http://http2.mlstatic.com/D_901326-MCO48341546276_112021-I.jpg,901326-MCO48341546276_112021,True,,MCO181071,,MCO-FALSE_NAILS,,49,True,,,,,,733633121,,,False,False,,MCO836001718,"[{'id': '2', 'type': 'standard', 'amount': 24000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-14T13:43:23Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,666.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,['self_service_out'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,6,Nuevo,MM-300,4,0,0,1,ABRIO
MCO540485353,MCO,Pincel De Kolisky Para Uñas En Acrílico Y Gel,30000,,COP,1,5,buy_it_now,gold_special,2039-10-31T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-540485353-pincel-de-kolisky-para-unas-en-acrilico-y-gel-_JM,http://http2.mlstatic.com/D_759625-MCO40728230546_022020-I.jpg,759625-MCO40728230546_022020,True,,MCO167683,,MCO-NAIL_STICKERS,,48,True,,,,,,237242630,,,False,False,,MCO540485353,"[{'id': '2', 'type': 'standard', 'amount': 30000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-02-08T05:25:31Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,833.33,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,me2,[],cross_docking,False,,,,,Colombia,Antioquia,Medellín,,,4,Nuevo,,5,0,1,1,
MCO608726603,MCO,Sticker Para Uñas  X 48 Láminas (transferencia Con Agua),26990,,COP,1,50,buy_it_now,gold_pro,2041-07-02T03:20:59.000Z,new,https://articulo.mercadolibre.com.co/MCO-608726603-sticker-para-unas-x-48-laminas-transferencia-con-agua-_JM,http://http2.mlstatic.com/D_733762-MCO46500535920_062021-O.jpg,733762-MCO46500535920_062021,True,,MCO167683,,MCO-NAIL_STICKERS,,47,False,,,,,,592226658,,,False,False,,MCO608726603,"[{'id': '11', 'type': 'standard', 'amount': 26990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-24T03:31:49Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '7', 'type': 'promotion', 'amount': 16399, 'regular_amount': 20499, 'currency_id': 'COP', 'last_updated': '2021-06-21T16:54:07Z', 'conditions': {'context_restrictions': [], 'start_time': '2021-06-21T05:00:00Z', 'end_time': '2021-06-24T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '236434-MCO608726603', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,2249.17,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Engativá,,,4,Nuevo,,5,0,1,1,
MCO529786442,MCO,Kit Pulidor De Uñas Electrico Removedor Acrílico Manicure,28900,,COP,1,250,buy_it_now,gold_special,2040-01-12T14:14:43.000Z,new,https://articulo.mercadolibre.com.co/MCO-529786442-kit-pulidor-de-unas-electrico-removedor-acrilico-manicure-_JM,http://http2.mlstatic.com/D_801236-MCO48938627981_012022-O.jpg,801236-MCO48938627981_012022,True,,MCO181071,,MCO-FALSE_NAILS,,46,False,,,,,,276529551,,,False,False,,MCO529786442,"[{'id': '7', 'type': 'standard', 'amount': 28900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-28T16:02:03Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,802.78,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,6,Nuevo,type,6,1,1,1,Carver
MCO583010269,MCO,Polygel Acrigel Uñas Semipermanentes,26000,,COP,1,50,buy_it_now,gold_special,2041-03-11T18:25:50.000Z,new,https://articulo.mercadolibre.com.co/MCO-583010269-polygel-acrigel-unas-semipermanentes-_JM,http://http2.mlstatic.com/D_638482-MCO48442694368_122021-O.jpg,638482-MCO48442694368_122021,True,,MCO167683,,MCO-NAIL_STICKERS,,45,False,,,,,,19584718,,,False,False,,MCO583010269,"[{'id': '1', 'type': 'standard', 'amount': 26000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-03T21:31:21Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,722.22,0,COP,CO-SAN,Santander,TUNPQ0JBUjY3YjE4,Barrancabermeja,False,me2,[],drop_off,False,,,,,Colombia,Santander,Barrancabermeja,,,4,Nuevo,Como foto,5,0,1,1,
MCO623349039,MCO,Pinza Para Desenterrar Uñas,13000,,COP,1,25,buy_it_now,gold_special,2041-05-08T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-623349039-pinza-para-desenterrar-unas-_JM,http://http2.mlstatic.com/D_619251-MCO45998792421_052021-I.jpg,619251-MCO45998792421_052021,True,,MCO167683,,MCO-NAIL_STICKERS,,44,True,,,,,,237242630,,,False,False,,MCO623349039,"[{'id': '1', 'type': 'standard', 'amount': 13000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-13T20:56:58Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,361.11,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,me2,[],cross_docking,False,,,,,Colombia,Antioquia,Medellín,,,4,Nuevo,Pinza Para Desenterrar Uñas,5,0,1,1,
MCO545821032,MCO,Gema Piedras De Vidrio Para Uñas O Para Encapsulado,17000,,COP,150,25,buy_it_now,gold_special,2039-12-07T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-545821032-gema-piedras-de-vidrio-para-unas-o-para-encapsulado-_JM,http://http2.mlstatic.com/D_811572-MCO44283516671_122020-I.jpg,811572-MCO44283516671_122020,True,,MCO157439,,MCO-MANICURE_AND_PEDICURE_SUPPLIES,,43,True,,,,,,237242630,,,False,False,,MCO545821032,"[{'id': '72898107-d62f-4642-b551-49489333fd65', 'type': 'standard', 'amount': 17000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-06T08:53:27Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,472.22,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,me2,[],cross_docking,False,,,,,Colombia,Antioquia,Medellín,,,1,Nuevo,,5,0,1,1,
MCO568322282,MCO,Gel Paint Para Decoración De Uñas/ Nail Art,14000,,COP,1,5,buy_it_now,gold_special,2040-06-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-568322282-gel-paint-para-decoracion-de-unas-nail-art-_JM,http://http2.mlstatic.com/D_922886-MCO43243486943_082020-I.jpg,922886-MCO43243486943_082020,True,,MCO167683,,MCO-NAIL_STICKERS,,42,True,,,,,,237242630,,,False,False,,MCO568322282,"[{'id': '1', 'type': 'standard', 'amount': 14000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-21T04:07:42Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,388.89,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,me2,[],cross_docking,False,,,,,Colombia,Antioquia,Medellín,,,4,Nuevo,Painting,5,0,1,1,
MCO440601334,MCO,¡ Kit 12 Fimo Fruta Animal Decoracion Uñas Nail Art New !!,12540,,COP,1,200,buy_it_now,gold_pro,2041-04-04T13:11:25.000Z,new,https://articulo.mercadolibre.com.co/MCO-440601334--kit-12-fimo-fruta-animal-decoracion-unas-nail-art-new--_JM,http://http2.mlstatic.com/D_962289-MCO31022203275_062019-I.jpg,962289-MCO31022203275_062019,True,13200,MCO167683,,MCO-NAIL_STICKERS,,41,True,,,,,,70087856,,,False,False,,MCO440601334,"[{'id': '65', 'type': 'standard', 'amount': 13200, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-09T05:06:52Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '81', 'type': 'promotion', 'amount': 12540, 'regular_amount': 13200, 'currency_id': 'COP', 'last_updated': '2022-02-16T23:01:17Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-23T04:30:00Z', 'end_time': '2023-01-01T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3976', 'promotion_id': 'MCO3976', 'promotion_type': 'campaign'}}, {'id': '82', 'type': 'promotion', 'amount': 12540, 'regular_amount': 13200, 'currency_id': 'COP', 'last_updated': '2022-02-16T23:01:17Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-23T04:30:00Z', 'end_time': '2023-01-01T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3977', 'promotion_id': 'MCO3977', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1045.0,0,COP,CO-SAN,Santander,TUNPQ0ZMTzcwZTNh,Floridablanca,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Santander,Floridablanca,,,6,Nuevo,Fimo,7,0,1,1,
MCO547802040,MCO,Kit Polygel Uñas Acrygel,40000,,COP,1,100,buy_it_now,gold_special,2039-12-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-547802040-kit-polygel-unas-acrygel-_JM,http://http2.mlstatic.com/D_697776-MCO45995910587_052021-I.jpg,697776-MCO45995910587_052021,True,,MCO167685,,MCO-NAIL_STAMPING_PLATES,,40,True,,,,,,237242630,,,False,False,,MCO547802040,"[{'id': '1', 'type': 'standard', 'amount': 40000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-01T23:34:20Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1111.11,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,me2,[],cross_docking,False,,,,,Colombia,Antioquia,Medellín,,,3,Nuevo,Kit,5,1,0,1,Beautyplus
MCO562464477,MCO,Punzones Para Uñas,7000,,COP,1,25,buy_it_now,gold_pro,2040-05-09T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-562464477-punzones-para-unas-_JM,http://http2.mlstatic.com/D_678453-MCO41809801233_052020-I.jpg,678453-MCO41809801233_052020,True,,MCO167683,,MCO-NAIL_STICKERS,,39,True,,,,,,164729645,,,False,False,,MCO562464477,"[{'id': '1', 'type': 'standard', 'amount': 7000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-27T20:34:09Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,583.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,6,Nuevo,2021,6,0,1,1,
