id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO583594023,MCO,Pack 3 Unidades Dispensador Jabón Líquido O Gel 600 Ml,76000,,COP,1,500,buy_it_now,gold_pro,2041-08-15T23:55:44.000Z,new,https://articulo.mercadolibre.com.co/MCO-583594023-pack-3-unidades-dispensador-jabon-liquido-o-gel-600-ml-_JM,http://http2.mlstatic.com/D_627361-MCO43519760814_092020-I.jpg,627361-MCO43519760814_092020,True,,MCO175793,,MCO-SOAP_AND_DETERGENT_DISPENSERS,,50,True,,,,,,394624141,,,False,False,,MCO583594023,"[{'id': '5', 'type': 'standard', 'amount': 76000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-05T21:24:41Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '6', 'type': 'promotion', 'amount': 72200, 'regular_amount': 76000, 'currency_id': 'COP', 'last_updated': '2021-11-27T23:24:44Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-12-01T11:00:00Z', 'end_time': '2021-12-01T17:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1185969-MCO583594023', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],12,6333.33,0,COP,CO-CUN,Cundinamarca,TUNPQ0NISTk4OWIx,Chía,True,me2,"['fulfillment', 'fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Cundinamarca,Chía,,,5,Triple Clean,Nuevo,DJ03,7,1,1,1
MCO573450662,MCO,Ducha Electrica Boccherini Gold 3 Temperaturas 110v,78990,,COP,1,500,buy_it_now,gold_special,2041-07-01T14:32:10.000Z,new,https://articulo.mercadolibre.com.co/MCO-573450662-ducha-electrica-boccherini-gold-3-temperaturas-110v-_JM,http://http2.mlstatic.com/D_874685-MCO48143327908_112021-I.jpg,874685-MCO48143327908_112021,True,84990,MCO436136,1188,MCO-SHOWER_PANELS,,49,True,,,,,,244719950,,,False,False,,MCO573450662,"[{'id': '61', 'type': 'standard', 'amount': 84990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-19T16:09:32Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '66', 'type': 'promotion', 'amount': 78990, 'regular_amount': 84990, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:01:34Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,2194.17,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JBUjEyNTcx,Barrios Unidos,True,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Barrios Unidos,,,5,Boccherini,Nuevo,Gold,4,0,0,1
MCO567823675,MCO,Dispensador De Papel Toalla Con Llave Anti Hurto,34900,,COP,50,500,buy_it_now,gold_special,2041-07-31T18:52:19.000Z,new,https://articulo.mercadolibre.com.co/MCO-567823675-dispensador-de-papel-toalla-con-llave-anti-hurto-_JM,http://http2.mlstatic.com/D_627358-MCO42331621432_062020-I.jpg,627358-MCO42331621432_062020,True,,MCO412628,,MCO-PAPER_TOWEL_DISPENSERS,,48,True,,,,,,394624141,,,False,False,,MCO567823675,"[{'id': '13', 'type': 'standard', 'amount': 34900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-21T19:01:39Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '16', 'type': 'promotion', 'amount': 27292, 'regular_amount': 34900, 'currency_id': 'COP', 'last_updated': '2022-02-04T11:58:42Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-29T13:00:00Z', 'end_time': '2022-02-08T13:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO3492001', 'promotion_id': 'MCO567823675-203d50ed-02f3-44ea-9c6a-99383da4924d', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 1569, 'campaign_discount_percentage': 21.8, 'campaign_end_date': '2022-02-08T13:00:00Z', 'order_item_price': 28861}}]",{'display_currency': 'COP'},[],[],[],36,969.44,0,COP,CO-CUN,Cundinamarca,TUNPQ0NISTk4OWIx,Chía,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Chía,,,5,Triple Clean,Nuevo,DT01,7,1,1,1
MCO625896419,MCO,Regadera Ducha Metalica Cuadrada De 25x25 Cm + Tubo Lujo ,54900,,COP,1,25,buy_it_now,gold_special,2041-05-16T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-625896419-regadera-ducha-metalica-cuadrada-de-25x25-cm-tubo-lujo-_JM,http://http2.mlstatic.com/D_702562-MCO44314514873_122020-I.jpg,702562-MCO44314514873_122020,True,,MCO436135,,MCO-BATHROOM_SUPPLIES,,47,True,,,,,,614075727,,,False,False,,MCO625896419,"[{'id': '4', 'type': 'standard', 'amount': 54900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-11T16:50:38Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '8', 'type': 'promotion', 'amount': 52155, 'regular_amount': 54900, 'currency_id': 'COP', 'last_updated': '2022-01-03T16:06:29Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': '2022-01-03T16:06:02Z', 'end_time': '2022-06-04T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': 'TR-614075727-20220103120628628:MCO625896419', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,1525.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JPUzQwMzcw,Bosa,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Bosa,,,5,,Nuevo,Ducha cuadrada de 25x25 cm 10 + niple 35 cm,6,1,1,1
MCO602236386,MCO,Pack 6 Toallas Manos 71x40cm - Cannon Exellence Color Blanco,41900,,COP,1,250,buy_it_now,gold_special,2041-01-11T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-602236386-pack-6-toallas-manos-71x40cm-cannon-exellence-color-blanco-_JM,http://http2.mlstatic.com/D_670712-MCO48153560703_112021-O.jpg,670712-MCO48153560703_112021,True,,MCO414208,,MCO-HAND_TOWELS,,46,False,,,,,,209433462,,,False,False,,MCO602236386,"[{'id': '2', 'type': 'standard', 'amount': 41900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-12T18:00:03Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1163.89,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Usaquén,,,5,Cannon,Nuevo,Royal Excellence,6,1,1,1
MCO568029775,MCO,Ducha Tipo Teléfono 2 1/2  Antisarro Cromada Yarden Ye0015,41118,,COP,50,250,buy_it_now,gold_special,2040-06-20T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-568029775-ducha-tipo-telefono-2-12-antisarro-cromada-yarden-ye0015-_JM,http://http2.mlstatic.com/D_648689-MCO49067162935_022022-O.jpg,648689-MCO49067162935_022022,True,46200,MCO412370,663,MCO-SHOWER_HEADS,,45,False,,,,,,355766067,,,False,False,,MCO568029775,"[{'id': '26', 'type': 'standard', 'amount': 46200, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-15T22:38:36Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '32', 'type': 'promotion', 'amount': 39270, 'regular_amount': 46200, 'currency_id': 'COP', 'last_updated': '2022-02-02T19:50:37Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-02T19:49:37Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4166001', 'promotion_id': 'MCO568029775-2bb0ee62-f4e6-47f5-a5e3-b16900e57c41', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 1848, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 41118}}]",{'display_currency': 'COP'},[],[],[],36,1142.17,0,COP,CO-BOY,Boyaca,TUNPQ1RVTjFhNDk0,Tunja,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Boyaca,Tunja,,,3,Yarden,Nuevo,YE0015,7,1,1,1
MCO609479110,MCO,Dispensador De Papel Toalla Z Metálico Triple Clean,75050,,COP,1,100,buy_it_now,gold_pro,2041-02-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-609479110-dispensador-de-papel-toalla-z-metalico-triple-clean-_JM,http://http2.mlstatic.com/D_661748-MCO46286348647_062021-I.jpg,661748-MCO46286348647_062021,True,79000,MCO412628,,MCO-PAPER_TOWEL_DISPENSERS,,44,True,,,,,,394624141,,,False,False,,MCO609479110,"[{'id': '5', 'type': 'standard', 'amount': 79000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-21T00:25:53Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '17', 'type': 'promotion', 'amount': 75050, 'regular_amount': 79000, 'currency_id': 'COP', 'last_updated': '2022-02-14T00:30:03Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-13T05:00:00Z', 'end_time': '2022-02-20T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1612322-MCO609479110', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,6254.17,0,COP,CO-CUN,Cundinamarca,TUNPQ0NISTk4OWIx,Chía,True,me2,"['fulfillment', 'fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Cundinamarca,Chía,,,5,Triple Clean,Nuevo,DT50,7,1,1,1
MCO568822806,MCO,Dispensador De Jabón Liquido Triple Clean 1000 Ml,35000,,COP,1,250,buy_it_now,gold_pro,2040-06-26T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-568822806-dispensador-de-jabon-liquido-triple-clean-1000-ml-_JM,http://http2.mlstatic.com/D_844004-MCO42446525602_072020-I.jpg,844004-MCO42446525602_072020,True,,MCO175793,,MCO-SOAP_AND_DETERGENT_DISPENSERS,,43,True,,,,,,394624141,,,False,False,,MCO568822806,"[{'id': '14', 'type': 'standard', 'amount': 35000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-25T13:12:26Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,2916.67,0,COP,CO-CUN,Cundinamarca,TUNPQ0NISTk4OWIx,Chía,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Chía,,,5,Triple Clean,Nuevo,YW1000,7,1,1,1
MCO586868764,MCO,Ducha Eléctrica Con Regadera De Lujo Ultraslim Boccherini ,108900,,COP,1,250,buy_it_now,gold_special,2040-09-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-586868764-ducha-electrica-con-regadera-de-lujo-ultraslim-boccherini-_JM,http://http2.mlstatic.com/D_792802-MCO45602144064_042021-I.jpg,792802-MCO45602144064_042021,True,,MCO436136,,MCO-SHOWER_PANELS,,42,True,,,,,,614075727,,,False,False,,MCO586868764,"[{'id': '7', 'type': 'standard', 'amount': 108900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T14:45:43Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '8', 'type': 'promotion', 'amount': 103455, 'regular_amount': 108900, 'currency_id': 'COP', 'last_updated': '2022-02-14T14:45:44Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': '2022-01-03T16:06:02Z', 'end_time': '2022-06-04T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': 'TR-614075727-20220103120628628:MCO586868764', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,3025.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JPUzQwMzcw,Bosa,True,me2,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Bosa,,,5,Boccherini,Nuevo,"Ducha Eléctrica Boccherini plato de lujo ultra slim redonda efecto espejo,  medida de 20x20 centímetros",7,0,1,1
MCO618722606,MCO,Barra Seguridad Antideslizante Agarradera Baño Manija Ventos,21490,,COP,50,250,buy_it_now,gold_pro,2041-04-19T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-618722606-barra-seguridad-antideslizante-agarradera-bano-manija-ventos-_JM,http://http2.mlstatic.com/D_880410-MCO46969261494_082021-I.jpg,880410-MCO46969261494_082021,True,,MCO416703,,MCO-BATHTUB_PILLOWS,,41,True,,,,,,263335107,,,False,False,,MCO618722606,"[{'id': '6', 'type': 'standard', 'amount': 21490, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-28T00:09:54Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,1790.83,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,3,helping handle,Nuevo,01,5,1,0,1
MCO582274154,MCO,Barra De Seguridad Agarradera Acero Inoxidable 40cm Premium,59900,,COP,1,500,buy_it_now,gold_special,2040-09-07T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-582274154-barra-de-seguridad-agarradera-acero-inoxidable-40cm-premium-_JM,http://http2.mlstatic.com/D_952235-MCO48037053550_102021-O.jpg,952235-MCO48037053550_102021,True,,MCO392662,,MCO-BATHROOM_GRAB_BARS,,40,False,,,,,,82947860,,,False,False,,MCO582274154,"[{'id': '26', 'type': 'standard', 'amount': 59900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-12T19:44:12Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '29', 'type': 'standard', 'amount': 59900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-12T19:44:24Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1663.89,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Suba,,,4,CCOL,Nuevo,CCOL-u,8,1,1,1
MCO625868152,MCO,Regadera Ducha Metalica Cuadrada De 15x15 Centimetros ,19900,,COP,1,50,buy_it_now,gold_special,2041-05-16T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-625868152-regadera-ducha-metalica-cuadrada-de-15x15-centimetros-_JM,http://http2.mlstatic.com/D_696243-MCO46129256841_052021-I.jpg,696243-MCO46129256841_052021,True,,MCO436135,,MCO-BATHROOM_SUPPLIES,,39,True,,,,,,614075727,,,False,False,,MCO625868152,"[{'id': '2', 'type': 'standard', 'amount': 19900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-22T21:56:34Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '9', 'type': 'promotion', 'amount': 18905, 'regular_amount': 19900, 'currency_id': 'COP', 'last_updated': '2022-01-06T17:53:58Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': '2022-01-03T16:06:02Z', 'end_time': '2022-06-04T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': 'TR-614075727-20220103120628628:MCO625868152', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,552.78,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JPUzQwMzcw,Bosa,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Bosa,,,5,,Nuevo,Ducha cuadrada de 15x15 cm 6,6,1,1,1
MCO573277906,MCO,Dispensador Automático De Jabón Y Gel Antibacterial,38900,,COP,1,500,buy_it_now,gold_special,2040-07-23T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-573277906-dispensador-automatico-de-jabon-y-gel-antibacterial-_JM,http://http2.mlstatic.com/D_712752-MCO43204807983_082020-I.jpg,712752-MCO43204807983_082020,True,,MCO175793,721,MCO-SOAP_AND_DETERGENT_DISPENSERS,,38,True,,,,,,532824343,,,False,False,,MCO573277906,"[{'id': '4', 'type': 'standard', 'amount': 38900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-12T15:40:08Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1080.56,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,5,SAT,Nuevo,SAT SD330T,6,0,1,1
MCO598056008,MCO,Lavamanos Ovalado En Ceramica Blanco 14cm*41cm*33cm ,154900,,COP,5000,200,buy_it_now,gold_special,2040-12-05T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-598056008-lavamanos-ovalado-en-ceramica-blanco-14cm41cm33cm-_JM,http://http2.mlstatic.com/D_767008-MCO40600331952_012020-I.jpg,767008-MCO40600331952_012020,True,,MCO167001,,MCO-SOAP_HOLDERS,,37,True,,,,,,82947860,,,False,False,,MCO598056008,"[{'id': '8', 'type': 'standard', 'amount': 154900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-26T04:24:03Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '55', 'type': 'promotion', 'amount': 131665, 'regular_amount': 154900, 'currency_id': 'COP', 'last_updated': '2022-02-11T03:14:29Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-10T05:00:00Z', 'end_time': '2022-02-17T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1600699-MCO598056008', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,4302.78,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,4,CCOL,Nuevo,LVM-W1115,6,1,1,1
MCO524561041,MCO,Lavamanos De Sobreponer En Ceramica Blanco 14cm*49cm*37.5cm,194900,,COP,1,250,buy_it_now,gold_special,2040-10-07T19:46:40.000Z,new,https://articulo.mercadolibre.com.co/MCO-524561041-lavamanos-de-sobreponer-en-ceramica-blanco-14cm49cm375cm-_JM,http://http2.mlstatic.com/D_782986-MCO32697099527_102019-I.jpg,782986-MCO32697099527_102019,True,,MCO173551,,MCO-BATHROOM_SUPPLIES,,36,True,,,,,,82947860,,,False,False,,MCO524561041,"[{'id': '8', 'type': 'standard', 'amount': 194900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-27T00:27:20Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,5413.89,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,3,CCOL,Nuevo,LVM1232,6,1,1,1
MCO632928233,MCO,6 Toallas Cannon Hotelera Cuerpo 100% Algodón Promoción,142500,,COP,500,100,buy_it_now,gold_special,2041-06-02T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-632928233-6-toallas-cannon-hotelera-cuerpo-100-algodon-promocion-_JM,http://http2.mlstatic.com/D_600045-MCO46286070723_062021-O.jpg,600045-MCO46286070723_062021,True,,MCO417930,,MCO-BATH_TOWELS,,35,False,,,,,,64844905,,,False,False,,MCO632928233,"[{'id': '2', 'type': 'standard', 'amount': 142500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-27T18:45:06Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '5', 'type': 'standard', 'amount': 130000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-27T18:53:38Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,3958.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JBUjEyNTcx,Barrios Unidos,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Barrios Unidos,,,5,Cannon,Nuevo,royal excellence,6,1,0,1
MCO614550652,MCO,Toalla Para Manos Elite 24 Paquetes De 150 Hojas Caja,135900,,COP,1,250,buy_it_now,gold_special,2041-03-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-614550652-toalla-para-manos-elite-24-paquetes-de-150-hojas-caja-_JM,http://http2.mlstatic.com/D_697701-MLA48173036939_112021-O.jpg,697701-MLA48173036939_112021,True,,MCO414208,,MCO-HAND_TOWELS,,34,False,,,,,,293663695,,,False,False,,MCO614550652,"[{'id': '10', 'type': 'standard', 'amount': 135900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-15T18:35:55Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '7', 'type': 'promotion', 'amount': 107255, 'regular_amount': 112900, 'currency_id': 'COP', 'last_updated': '2021-11-25T12:49:08Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': '2021-11-08T17:00:00Z', 'end_time': '2021-11-30T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': 'TR-293663695-202111082019241924:MCO614550652', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,3775.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,5,Elite,Nuevo,1TTCO631003,6,1,1,1
MCO501956804,MCO,Tapa Asiento Para Sanitario Blanco Corona,36990,,COP,1,250,buy_it_now,gold_special,2039-01-20T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-501956804-tapa-asiento-para-sanitario-blanco-corona-_JM,http://http2.mlstatic.com/D_688641-MCO47992284826_102021-O.jpg,688641-MCO47992284826_102021,True,,MCO381996,1188,MCO-TOILET_SEATS,,33,False,,,,,,244719950,,,False,False,,MCO501956804,"[{'id': '28', 'type': 'standard', 'amount': 36990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-16T15:10:03Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1027.5,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JBUjEyNTcx,Barrios Unidos,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Barrios Unidos,,,4,Corona,Nuevo,Basic CT,6,1,1,1
