id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,BRAND,MODEL
MCO618823985,MCO,Anime - Sora Kasugano Con Abanico Y Espada - Yosuga Nosora,42655,,COP,1,5,buy_it_now,gold_pro,2041-09-14T22:09:12.000Z,new,https://articulo.mercadolibre.com.co/MCO-618823985-anime-sora-kasugano-con-abanico-y-espada-yosuga-nosora-_JM,http://http2.mlstatic.com/D_727672-MCO47044531276_082021-I.jpg,727672-MCO47044531276_082021,True,44900,MCO2978,,MCO-ACTION_FIGURES,,50,True,,,,,,721577348,,,False,False,,MCO618823985,"[{'id': '7', 'type': 'standard', 'amount': 44900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-27T04:11:19Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '31', 'type': 'promotion', 'amount': 42655, 'regular_amount': 44900, 'currency_id': 'COP', 'last_updated': '2022-01-27T23:52:10Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,3554.58,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Bogotá D.C.,Usaquén,,,4,Nuevo,6,0,1,1,,
MCO831050334,MCO,Jurassic World Dino Escape Mosasaurus Original Envio Ya,284905,,COP,1,5,buy_it_now,gold_special,2041-11-06T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-831050334-jurassic-world-dino-escape-mosasaurus-original-envio-ya-_JM,http://http2.mlstatic.com/D_710053-MCO48199670244_112021-I.jpg,710053-MCO48199670244_112021,True,299900,MCO2978,,MCO-ACTION_FIGURES,,49,True,,,,,,396700650,,,False,False,,MCO831050334,"[{'id': '5', 'type': 'standard', 'amount': 299900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-04T16:34:31Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '6', 'type': 'promotion', 'amount': 284905, 'regular_amount': 299900, 'currency_id': 'COP', 'last_updated': '2022-02-02T04:27:41Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,7914.03,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JBUjEyNTcx,Barrios Unidos,True,me2,"['self_service_in', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Bogotá D.C.,Barrios Unidos,,,2,Nuevo,5,0,1,1,,
MCO831037516,MCO,Jurassic World Dino Escape Tiranosaurio Rex Original Envioya,303905,,COP,1,5,buy_it_now,gold_special,2041-11-06T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-831037516-jurassic-world-dino-escape-tiranosaurio-rex-original-envioya-_JM,http://http2.mlstatic.com/D_671294-MCO48202009169_112021-I.jpg,671294-MCO48202009169_112021,True,319900,MCO2978,,MCO-ACTION_FIGURES,MCO18716174,48,True,,,,,,396700650,,,False,False,,MCO831037516,"[{'id': '5', 'type': 'standard', 'amount': 319900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-04T16:33:06Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '7', 'type': 'promotion', 'amount': 303905, 'regular_amount': 319900, 'currency_id': 'COP', 'last_updated': '2022-02-02T04:27:42Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,8441.81,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JBUjEyNTcx,Barrios Unidos,True,me2,"['self_service_in', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Bogotá D.C.,Barrios Unidos,,,3,Nuevo,5,0,1,1,,
MCO587621520,MCO,Pj Masks Mini Vehiculo Catboy,35900,,COP,1,5,buy_it_now,gold_special,2040-10-03T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-587621520-pj-masks-mini-vehiculo-catboy-_JM,http://http2.mlstatic.com/D_851937-MCO43700862879_102020-I.jpg,851937-MCO43700862879_102020,True,39900,MCO2978,320,MCO-ACTION_FIGURES,,47,True,,,,,,544457773,,,False,False,,MCO587621520,"[{'id': '136e8d06-2cce-4f8f-b675-a96deeea21ce', 'type': 'standard', 'amount': 39900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-12-17T19:08:14Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '94', 'type': 'promotion', 'amount': 35900, 'regular_amount': 39900, 'currency_id': 'COP', 'last_updated': '2022-02-10T12:57:59Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-03-25T14:59:00Z', 'end_time': '2029-12-01T15:29:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2574', 'promotion_id': 'MCO2574', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],"[{'id': '9', 'type': 'list', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 39900, 'currency_id': 'COP', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2021-09-10T08:01:49Z'}]",[],36,997.22,0,COP,CO-CUN,Cundinamarca,TUNPQ0ZVTjMxMDQy,Funza,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Funza,,,4,Nuevo,6,0,1,1,,
MCO657517594,MCO,Figura De Acción Ghost-cóptero Change 'n Go Y Ghost-spider,129900,,COP,1,5,buy_it_now,gold_special,2041-08-14T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-657517594-figura-de-accion-ghost-coptero-change-n-go-y-ghost-spider-_JM,http://http2.mlstatic.com/D_959422-MCO47164474505_082021-I.jpg,959422-MCO47164474505_082021,True,139900,MCO2978,400,MCO-ACTION_FIGURES,,46,True,,,,,,544457773,,,False,False,,MCO657517594,"[{'id': '779', 'type': 'standard', 'amount': 139900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-09T16:44:11Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '782', 'type': 'promotion', 'amount': 129900, 'regular_amount': 139900, 'currency_id': 'COP', 'last_updated': '2022-02-09T16:44:55Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-03-25T14:59:00Z', 'end_time': '2029-12-01T15:29:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2574', 'promotion_id': 'MCO2574', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],"[{'id': '2', 'type': 'list', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 129900, 'currency_id': 'COP', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2021-09-02T08:02:11Z'}]",[],36,3608.33,0,COP,CO-CUN,Cundinamarca,TUNPQ0ZVTjMxMDQy,Funza,True,me2,"['fulfillment', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Cundinamarca,Funza,,,4,Nuevo,5,0,0,1,,
MCO607251462,MCO,Naruto Figura Nube Akatsuki Collar Metálico ,17100,,COP,1,5,buy_it_now,gold_special,2041-02-07T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-607251462-naruto-figura-nube-akatsuki-collar-metalico-_JM,http://http2.mlstatic.com/D_737689-MCO46118003484_052021-I.jpg,737689-MCO46118003484_052021,True,18000,MCO2978,,MCO-ACTION_FIGURES,,45,True,,,,,,342366381,,,False,False,,MCO607251462,"[{'id': '7', 'type': 'standard', 'amount': 18000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-15T21:41:53Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '8', 'type': 'promotion', 'amount': 17100, 'regular_amount': 18000, 'currency_id': 'COP', 'last_updated': '2022-01-25T16:56:14Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,475.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjg4OTk3,San Cristobal Sur,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,San Cristobal Sur,,,4,Nuevo,5,0,1,1,,
MCO610524154,MCO,Figura De Acción Power Rangers Beast Morphers Ranger Rojo,59900,,COP,1,5,buy_it_now,gold_special,2041-02-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-610524154-figura-de-accion-power-rangers-beast-morphers-ranger-rojo-_JM,http://http2.mlstatic.com/D_996292-MCO45094119814_032021-I.jpg,996292-MCO45094119814_032021,True,69900,MCO2978,400,MCO-ACTION_FIGURES,,44,True,,,,,,544457773,,,False,False,,MCO610524154,"[{'id': '348', 'type': 'standard', 'amount': 69900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-09T16:44:24Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '350', 'type': 'promotion', 'amount': 59900, 'regular_amount': 69900, 'currency_id': 'COP', 'last_updated': '2022-02-09T16:44:47Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-03-25T14:59:00Z', 'end_time': '2029-12-01T15:29:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2574', 'promotion_id': 'MCO2574', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],"[{'id': '41', 'type': 'list', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 59900, 'currency_id': 'COP', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2021-11-17T08:03:40Z'}]",[],36,1663.89,0,COP,CO-CUN,Cundinamarca,TUNPQ0ZVTjMxMDQy,Funza,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Funza,,,4,Nuevo,5,0,0,1,,
MCO800719883,MCO,Bandana Itachi Banda Itachi De Naruto Cosplay Anime,17100,,COP,1,5,buy_it_now,gold_special,2041-08-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-800719883-bandana-itachi-banda-itachi-de-naruto-cosplay-anime-_JM,http://http2.mlstatic.com/D_990691-MCO47297055568_082021-I.jpg,990691-MCO47297055568_082021,True,18000,MCO2978,,MCO-ACTION_FIGURES,,43,True,,,,,,282077624,,,False,False,,MCO800719883,"[{'id': '6', 'type': 'standard', 'amount': 18000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-26T18:49:02Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '7', 'type': 'promotion', 'amount': 17100, 'regular_amount': 18000, 'currency_id': 'COP', 'last_updated': '2022-02-12T23:05:20Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-12T05:00:00Z', 'end_time': '2022-02-19T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1609743-MCO800719883', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,475.0,0,COP,CO-LAG,Guajira,TUNPQ1JJTzIzOThh,Riohacha,False,me2,[],drop_off,False,,,,,Colombia,Guajira,Riohacha,,,2,Nuevo,5,0,1,1,,
MCO850434161,MCO,Funko Pop Spiderman Upgraded Suit 923 No Way Home+protector,94905,,COP,1,5,buy_it_now,gold_special,2042-01-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-850434161-funko-pop-spiderman-upgraded-suit-923-no-way-homeprotector-_JM,http://http2.mlstatic.com/D_814699-MCO48837982790_012022-I.jpg,814699-MCO48837982790_012022,True,99900,MCO2978,,MCO-ACTION_FIGURES,MCO18916755,42,True,,,,,,610069525,,,False,False,,MCO850434161,"[{'id': '1', 'type': 'standard', 'amount': 99900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-15T15:37:38Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '2', 'type': 'promotion', 'amount': 94905, 'regular_amount': 99900, 'currency_id': 'COP', 'last_updated': '2022-01-27T16:45:32Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,2636.25,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Martires,,,3,Nuevo,5,0,1,1,,
MCO829720591,MCO,Goku Super Sayayin  - Sh Figuarts Dragon Ball,209000,,COP,1,5,buy_it_now,gold_special,2041-11-29T21:25:10.000Z,new,https://articulo.mercadolibre.com.co/MCO-829720591-goku-super-sayayin-sh-figuarts-dragon-ball-_JM,http://http2.mlstatic.com/D_654633-MCO48334268981_112021-I.jpg,654633-MCO48334268981_112021,True,220000,MCO2978,,MCO-ACTION_FIGURES,MCO18918490,41,True,,,,,,76540208,,,False,False,,MCO829720591,"[{'id': '1', 'type': 'standard', 'amount': 220000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-08T17:04:49Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '8', 'type': 'promotion', 'amount': 209000, 'regular_amount': 220000, 'currency_id': 'COP', 'last_updated': '2022-01-26T15:03:23Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,5805.56,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,True,me2,"['fulfillment', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Usaquén,,,5,Nuevo,6,0,1,1,,
MCO804629686,MCO,Paw Patrol Cachorros Transformación Skye 6022626,46722,,COP,1,5,buy_it_now,gold_special,2041-09-01T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-804629686-paw-patrol-cachorros-transformacion-skye-6022626-_JM,http://http2.mlstatic.com/D_827107-MLA46559268763_062021-I.jpg,827107-MLA46559268763_062021,True,59900,MCO2978,1355,MCO-ACTION_FIGURES,,40,True,,,,,,544457773,,,False,False,,MCO804629686,"[{'id': '1', 'type': 'standard', 'amount': 59900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-06T21:23:04Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '81', 'type': 'promotion', 'amount': 46722, 'regular_amount': 59900, 'currency_id': 'COP', 'last_updated': '2022-01-18T22:20:05Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-03-25T14:59:00Z', 'end_time': '2029-12-01T15:29:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2574', 'promotion_id': 'MCO2574', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,1297.83,0,COP,CO-CUN,Cundinamarca,TUNPQ0ZVTjMxMDQy,Funza,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Funza,,,4,Nuevo,6,0,1,1,,
MCO588953719,MCO,Guante Thanos Avengers Endgame Con Luz Grande,123405,,COP,1,5,buy_it_now,gold_pro,2040-10-08T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-588953719-guante-thanos-avengers-endgame-con-luz-grande-_JM,http://http2.mlstatic.com/D_790079-MCO48601114162_122021-I.jpg,790079-MCO48601114162_122021,True,129900,MCO2978,,MCO-ACTION_FIGURES,,39,True,,,,,,536544115,,,False,False,,MCO588953719,"[{'id': '09778f43-8445-4d93-b0e2-bb014c99a289', 'type': 'standard', 'amount': 129900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-14T02:19:23Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '1', 'type': 'promotion', 'amount': 123405, 'regular_amount': 129900, 'currency_id': 'COP', 'last_updated': '2022-02-11T15:23:16Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,10283.75,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,True,me2,"['self_service_out', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Martires,,,2,Nuevo,6,0,1,1,,
