id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,MODEL
MCO594453564,MCO,Inversor De Corriente Con Puerto Usb Convertidor 120w,102125,,COP,1,100,buy_it_now,gold_special,2040-11-07T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-594453564-inversor-de-corriente-con-puerto-usb-convertidor-120w-_JM,http://http2.mlstatic.com/D_754209-MCO44064985875_112020-I.jpg,754209-MCO44064985875_112020,True,107500,MCO173812,,MCO-LIGHT_VEHICLE_ACCESSORIES,,50,True,,,,,,147458773,,,False,False,,MCO594453564,"[{'id': '2', 'type': 'standard', 'amount': 107500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-30T21:51:59Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '8', 'type': 'promotion', 'amount': 102125, 'regular_amount': 107500, 'currency_id': 'COP', 'last_updated': '2022-02-07T04:31:10Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,2836.81,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,4,Truper,Nuevo,6,0,1,1,
MCO545440949,MCO,Pera / Pomo Spark Gt Importada Plata,41705,,COP,50,250,buy_it_now,gold_special,2039-12-05T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-545440949-pera-pomo-spark-gt-importada-plata-_JM,http://http2.mlstatic.com/D_820073-MCO43277316452_082020-I.jpg,820073-MCO43277316452_082020,True,43900,MCO376787,,MCO-LIGHT_VEHICLE_PARTS,,49,True,,,,,,61887278,,,False,False,,MCO545440949,"[{'id': '28', 'type': 'standard', 'amount': 43900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-20T23:40:40Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '62', 'type': 'promotion', 'amount': 41705, 'regular_amount': 43900, 'currency_id': 'COP', 'last_updated': '2022-02-09T23:05:59Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,1158.47,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RVTjE0ODY0,Tunjuelito,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Tunjuelito,,,4,ICP,Nuevo,5,0,1,1,
MCO595819556,MCO,Sensor Tpms Chevrolet Captiva  2010 A 2017,73508,,COP,1,100,buy_it_now,gold_special,2040-11-19T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-595819556-sensor-tpms-chevrolet-captiva-2010-a-2017-_JM,http://http2.mlstatic.com/D_639398-MCO49075405333_022022-I.jpg,639398-MCO49075405333_022022,True,79900,MCO431966,,MCO-TPMS_SENSORS,,48,True,,,,,,61887278,,,False,False,,MCO595819556,"[{'id': '20', 'type': 'standard', 'amount': 79900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-04T15:26:54Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '28', 'type': 'promotion', 'amount': 75905, 'regular_amount': 79900, 'currency_id': 'COP', 'last_updated': '2022-02-14T19:17:34Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}, {'id': '29', 'type': 'promotion', 'amount': 70312, 'regular_amount': 79900, 'currency_id': 'COP', 'last_updated': '2022-02-14T19:17:34Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-14T19:16:33Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4360001', 'promotion_id': 'MCO595819556-9dad297c-79b6-4587-a2df-957a67f868d5', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 3196, 'campaign_discount_percentage': 12, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 73508}}]",{'display_currency': 'COP'},[],[],[],36,2041.89,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RVTjE0ODY0,Tunjuelito,True,me2,"['fulfillment', 'self_service_in', 'fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Tunjuelito,,,5,,Nuevo,6,0,1,1,
MCO538703041,MCO,Radio Carro Pantalla Bluetooth Usb + Espejo (android + Iph),259000,,COP,1,250,buy_it_now,gold_special,2041-06-10T18:18:16.000Z,new,https://articulo.mercadolibre.com.co/MCO-538703041-radio-carro-pantalla-bluetooth-usb-espejo-android-iph-_JM,http://http2.mlstatic.com/D_854213-MCO48603781672_122021-I.jpg,854213-MCO48603781672_122021,True,349000,MCO409392,,MCO-VEHICLE_MULTIMEDIA_SYSTEMS,,47,True,,,,,,378072526,,,False,False,,MCO538703041,"[{'id': '96', 'type': 'standard', 'amount': 349900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-26T15:11:27Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '103', 'type': 'promotion', 'amount': 269000, 'regular_amount': 349000, 'currency_id': 'COP', 'last_updated': '2022-02-07T04:31:50Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}, {'id': '104', 'type': 'promotion', 'amount': 259000, 'regular_amount': 349000, 'currency_id': 'COP', 'last_updated': '2022-02-07T04:31:50Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,7194.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Engativá,,,5,Baxster,Nuevo,6,0,1,1,CM-1803MA
MCO529734837,MCO,Protector Silla Carro Mascota Negro Gris Trasera,54900,,COP,1,150,buy_it_now,gold_special,2039-08-07T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-529734837-protector-silla-carro-mascota-negro-gris-trasera-_JM,http://http2.mlstatic.com/D_895493-MCO31794166672_082019-O.jpg,895493-MCO31794166672_082019,True,76900,MCO178000,840,MCO-CAR_SEAT_COVERS,,46,False,,,,,,23439548,,,False,False,,MCO529734837,"[{'id': '65', 'type': 'standard', 'amount': 75900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-06T13:33:20Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '71', 'type': 'promotion', 'amount': 54900, 'regular_amount': 76900, 'currency_id': 'COP', 'last_updated': '2022-02-02T21:15:24Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,1525.0,0,COP,CO-CUN,Cundinamarca,TUNPQ01BRDcyNTRi,Madrid,True,me2,[],cross_docking,False,,,,,Colombia,Cundinamarca,Madrid,,,3,Happy Bear,Nuevo,6,1,1,1,Basic
MCO522912830,MCO,Parlantes Kl Audio Ts-a6996s Ovalado 6x9 650w 5 Vías,110105,,COP,1,150,buy_it_now,gold_special,2039-07-05T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-522912830-parlantes-kl-audio-ts-a6996s-ovalado-6x9-650w-5-vias-_JM,http://http2.mlstatic.com/D_966288-MCO31481753784_072019-O.jpg,966288-MCO31481753784_072019,True,115900,MCO3384,,MCO-AUTOMOTIVE_SPEAKERS,,45,False,,,,,,418664651,,,False,False,,MCO522912830,"[{'id': '23', 'type': 'standard', 'amount': 115900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-20T02:47:55Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '24', 'type': 'promotion', 'amount': 110105, 'regular_amount': 115900, 'currency_id': 'COP', 'last_updated': '2022-02-09T16:16:57Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,3058.47,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,True,me2,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Martires,,,6,KL Audio,Nuevo,7,1,1,1,TS-A6996S
MCO532313911,MCO,Protector Puerta Carro Magnetico Anti Portazo Rayon Golpe X2,58968,,COP,500,250,buy_it_now,gold_pro,2039-08-23T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-532313911-protector-puerta-carro-magnetico-anti-portazo-rayon-golpe-x2-_JM,http://http2.mlstatic.com/D_656019-MCO45216892984_032021-I.jpg,656019-MCO45216892984_032021,True,64800,MCO87923,,MCO-LIGHT_VEHICLE_ACCESSORIES,,44,True,,,,,,152737872,,,False,False,,MCO532313911,"[{'id': '13', 'type': 'standard', 'amount': 64800, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-05T12:28:37Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '14', 'type': 'promotion', 'amount': 58968, 'regular_amount': 64800, 'currency_id': 'COP', 'last_updated': '2022-02-05T12:29:01Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,4914.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ0tFTjQyODYy,Kennedy,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Kennedy,,,2,VELBROS,Nuevo,4,0,0,1,
MCO568614124,MCO,Piñon Motor Mazda 3 5 6 Cx7 Cx9,18905,,COP,150,150,buy_it_now,gold_special,2040-06-25T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-568614124-pinon-motor-mazda-3-5-6-cx7-cx9-_JM,http://http2.mlstatic.com/D_669061-MCO42421605751_062020-I.jpg,669061-MCO42421605751_062020,True,19900,MCO374222,,MCO-AUTOMOTIVE_POWER_WINDOW_REGULATORS,,43,True,,,,,,61887278,,,False,False,,MCO568614124,"[{'id': '126', 'type': 'standard', 'amount': 19900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-23T19:19:07Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '128', 'type': 'promotion', 'amount': 18905, 'regular_amount': 19900, 'currency_id': 'COP', 'last_updated': '2022-02-07T04:31:46Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,525.14,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RVTjE0ODY0,Tunjuelito,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Tunjuelito,,,3,BOSH,Nuevo,6,1,1,1,
MCO488719104,MCO,Tapasol Parasol Protector Laterales Autos,11400,,COP,1,100,buy_it_now,gold_special,2038-12-07T16:20:49.000Z,new,https://articulo.mercadolibre.com.co/MCO-488719104-tapasol-parasol-protector-laterales-autos-_JM,http://http2.mlstatic.com/D_673899-MCO31006185607_062019-I.jpg,673899-MCO31006185607_062019,True,12000,MCO173812,,MCO-LIGHT_VEHICLE_ACCESSORIES,,42,True,,,,,,322952602,,,False,False,,MCO488719104,"[{'id': '3', 'type': 'standard', 'amount': 12000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-16T04:01:43Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '5', 'type': 'promotion', 'amount': 11400, 'regular_amount': 12000, 'currency_id': 'COP', 'last_updated': '2022-02-16T21:23:34Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,316.67,0,COP,CO-VAC,Valle Del Cauca,TUNPQ0NBTDYyZDA0,Cali,False,me2,[],cross_docking,False,,,,,Colombia,Valle Del Cauca,Cali,,,1,,Nuevo,5,0,1,1,
MCO816666465,MCO,Película Antiempañante Casco De Moto Película Impermeable,11250,,COP,1,50,buy_it_now,gold_special,2041-09-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-816666465-pelicula-antiempanante-casco-de-moto-pelicula-impermeable-_JM,http://http2.mlstatic.com/D_867138-MCO47737258373_102021-O.jpg,867138-MCO47737258373_102021,True,12500,MCO180737,,MCO-MOTORCYCLE_HELMET_VISORS,,41,False,,,,,,155418681,,,False,False,,MCO816666465,"[{'id': '1', 'type': 'standard', 'amount': 12500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-02T17:18:30Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '8', 'type': 'promotion', 'amount': 11250, 'regular_amount': 12500, 'currency_id': 'COP', 'last_updated': '2022-02-13T23:45:26Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,312.5,0,COP,CO-DC,Bogotá D.C.,TUNPQ0tFTjQyODYy,Kennedy,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Kennedy,,,2,America Store,Nuevo,7,1,1,1,
MCO473033955,MCO,Par De Bombillos Led Premium H4 De 25000 Lumens ,187999,,COP,500,250,buy_it_now,gold_pro,2040-04-29T20:09:22.000Z,new,https://articulo.mercadolibre.com.co/MCO-473033955-par-de-bombillos-led-premium-h4-de-25000-lumens-_JM,http://http2.mlstatic.com/D_955048-MCO49012560584_022022-O.jpg,955048-MCO49012560584_022022,True,199999,MCO90578,,MCO-VEHICLE_TUNING_AND_PERFORMANCE,,40,False,,,,,,181916503,,,False,False,,MCO473033955,"[{'id': '60', 'type': 'standard', 'amount': 199999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-31T13:58:57Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '78', 'type': 'promotion', 'amount': 187999, 'regular_amount': 199999, 'currency_id': 'COP', 'last_updated': '2022-02-15T16:14:16Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '79', 'type': 'promotion', 'amount': 189999, 'regular_amount': 199999, 'currency_id': 'COP', 'last_updated': '2022-02-15T16:14:16Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}, {'id': '80', 'type': 'promotion', 'amount': 181999, 'regular_amount': 199999, 'currency_id': 'COP', 'last_updated': '2022-02-15T16:14:16Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-20T05:00:00Z', 'end_time': '2022-02-21T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1622448-MCO473033955', 'promotion_type': 'deal_of_the_day'}}]",{'display_currency': 'COP'},[],[],[],12,15666.58,0,COP,CO-TOL,Tolima,TUNPQ0lCQTI0NzNh,Ibagué,True,me2,['mandatory_free_shipping'],drop_off,False,,,,,Colombia,Tolima,Ibagué,,,2,Novsight premium,Nuevo,5,0,1,1,
MCO844377861,MCO,"Pato Para Carro, Moto, Bicicleta, Accesorio De Lujo",17428,,COP,100,50,buy_it_now,gold_special,2041-12-18T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-844377861-pato-para-carro-moto-bicicleta-accesorio-de-lujo-_JM,http://http2.mlstatic.com/D_620298-MCO49130427629_022022-O.jpg,620298-MCO49130427629_022022,True,18700,MCO173812,,MCO-LIGHT_VEHICLE_ACCESSORIES,,39,False,,,,,,418664651,,,False,False,,MCO844377861,"[{'id': '3', 'type': 'standard', 'amount': 18700, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-04T01:35:26Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '5', 'type': 'promotion', 'amount': 16455, 'regular_amount': 18700, 'currency_id': 'COP', 'last_updated': '2022-02-16T12:48:57Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-16T12:47:57Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4360001', 'promotion_id': 'MCO844377861-9b7ed34e-b8ba-4088-8655-484ecbe01473', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 973, 'campaign_discount_percentage': 12.01, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 17428}}]",{'display_currency': 'COP'},[],[],[],36,484.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,2,Genérica,Nuevo,5,1,1,1,
MCO479622681,MCO,Par De Bombillos Led H4 20000 Lumens,142499,,COP,500,250,buy_it_now,gold_pro,2041-10-20T13:06:06.000Z,new,https://articulo.mercadolibre.com.co/MCO-479622681-par-de-bombillos-led-h4-20000-lumens-_JM,http://http2.mlstatic.com/D_823687-MCO49066234340_022022-I.jpg,823687-MCO49066234340_022022,True,149999,MCO90578,,MCO-VEHICLE_TUNING_AND_PERFORMANCE,,38,True,,,,,,181916503,,,False,False,,MCO479622681,"[{'id': '37', 'type': 'standard', 'amount': 149999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-14T13:38:16Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '59', 'type': 'promotion', 'amount': 142499, 'regular_amount': 149999, 'currency_id': 'COP', 'last_updated': '2022-02-16T17:21:40Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '60', 'type': 'promotion', 'amount': 142499, 'regular_amount': 149999, 'currency_id': 'COP', 'last_updated': '2022-02-16T17:21:40Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}, {'id': '61', 'type': 'promotion', 'amount': 137999, 'regular_amount': 149999, 'currency_id': 'COP', 'last_updated': '2022-02-16T17:21:40Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-21T05:00:00Z', 'end_time': '2022-02-22T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1622450-MCO479622681', 'promotion_type': 'deal_of_the_day'}}, {'id': '62', 'type': 'promotion', 'amount': 137999, 'regular_amount': 149999, 'currency_id': 'COP', 'last_updated': '2022-02-16T17:21:40Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-20T23:00:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1631739-MCO479622681', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],12,11874.92,0,COP,CO-TOL,Tolima,TUNPQ0lCQTI0NzNh,Ibagué,True,me2,['mandatory_free_shipping'],drop_off,False,,,,,Colombia,Tolima,Ibagué,,,2,Premium led,Nuevo,5,0,1,1,
MCO608039321,MCO,Juego Amortiguadores Capot Chevrolet Captiva ,109480,,COP,1,200,buy_it_now,gold_special,2041-11-06T22:34:28.000Z,new,https://articulo.mercadolibre.com.co/MCO-608039321-juego-amortiguadores-capot-chevrolet-captiva-_JM,http://http2.mlstatic.com/D_687006-MCO44905560870_022021-I.jpg,687006-MCO44905560870_022021,True,119000,MCO373376,,MCO-GAS_LIFT_SUPPORTS,,37,True,,,,,,61887278,,,False,False,,MCO608039321,"[{'id': '32', 'type': 'standard', 'amount': 119000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-14T03:52:55Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '40', 'type': 'promotion', 'amount': 113050, 'regular_amount': 119000, 'currency_id': 'COP', 'last_updated': '2022-02-14T19:08:21Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T04:30:00Z', 'end_time': '2022-02-21T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO4056', 'promotion_id': 'MCO4056', 'promotion_type': 'campaign'}}, {'id': '41', 'type': 'promotion', 'amount': 104720, 'regular_amount': 119000, 'currency_id': 'COP', 'last_updated': '2022-02-14T19:08:21Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-14T19:07:21Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4360001', 'promotion_id': 'MCO608039321-09c38d15-1621-4b08-a83e-15f8354694ab', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 4760, 'campaign_discount_percentage': 12, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 109480}}]",{'display_currency': 'COP'},[],[],[],36,3041.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RVTjE0ODY0,Tunjuelito,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Tunjuelito,,,7,ICP,Nuevo,6,1,1,1,
